Family,Species,Sample.Size,Elev_up,Elev_low,Elev_mid,RS,W_length,B_length,Weight,CTmax,CTmin,TTrange,STmax,STmin,STR,STmean,Location,DTmax,DTmin,DTmean,DTR,Group
Erebidae,CA_AGA01,2,1372,509,940.5,863,31.835,22.7,0.139,41,10.9,30.1,23.35,14.2,9.15,19.28,Malaysia,24.15978052,19.36063915,21.36230076,4.799141373,M1
Crambidae,CA_CRA17,4,1372,509,940.5,863,15.0525,13.5425,0.021575,38.13333333,5.6,32.53333333,23.35,14.2,9.15,19.28,Malaysia,24.15978052,19.36063915,21.36230076,4.799141373,M1
Crambidae,CA_CRA28,2,1372,509,940.5,863,11.22,9.785,0.0058,38.2,-0.5,38.7,23.35,14.2,9.15,19.28,Malaysia,24.15978052,19.36063915,21.36230076,4.799141373,M1
Crambidae,CA_CRA38,8,1372,509,940.5,863,14.49,14.7175,0.01283875,38.6,10.4,28.2,23.35,14.2,9.15,19.28,Malaysia,24.15978052,19.36063915,21.36230076,4.799141373,M1
Crambidae,CA_CRA39,13,1372,509,940.5,863,11.79769231,11.01384615,0.008156154,42,0.9,41.1,23.35,14.2,9.15,19.28,Malaysia,24.15978052,19.36063915,21.36230076,4.799141373,M1
Crambidae,CA_CRA70,2,1372,509,940.5,863,11.61,11.39,0.009,39.7,2.1,37.6,23.35,14.2,9.15,19.28,Malaysia,24.15978052,19.36063915,21.36230076,4.799141373,M1
Erebidae,CA_ERE17,2,1372,509,940.5,863,20.845,17.085,0.0362,45.7,8.7,37,23.35,14.2,9.15,19.28,Malaysia,24.15978052,19.36063915,21.36230076,4.799141373,M1
Erebidae,CA_ERE20,3,1372,509,940.5,863,17.05,14.06666667,0.018466667,43.6,4.3,39.3,23.35,14.2,9.15,19.28,Malaysia,24.15978052,19.36063915,21.36230076,4.799141373,M1
Geometridae,CA_GEO33-2,3,1372,509,940.5,863,16.09333333,12.94666667,0.0086,44.75,1.9,42.85,23.35,14.2,9.15,19.28,Malaysia,24.15978052,19.36063915,21.36230076,4.799141373,M1
Geometridae,CA_GEO54,3,1372,509,940.5,863,30.01,19.62,0.062466667,43.7,8.25,35.45,23.35,14.2,9.15,19.28,Malaysia,24.15978052,19.36063915,21.36230076,4.799141373,M1
Geometridae,CA_GEO84,7,1372,509,940.5,863,17.94285714,13.91428571,0.014208571,41.5,1.4,40.1,23.35,14.2,9.15,19.28,Malaysia,24.15978052,19.36063915,21.36230076,4.799141373,M1
