Tmean,Tsd,Tsd_short,CTmin,CTmax,Topt,Inc,Sigma,Scale,Tpers,Fec,Dens,BRate,Rep,Tmax,Tmin,CTrange,CTmax_sd,CTmin_sd
18,0,2.5,15.325715,22.594064,21.642339,0.97645,1.824749,3.48528,75315,1.533214,6637,231.34,0,20.5,15.5,7.268349,-2.46597081649899,1.84886579764936
18,0,2.5,3.719744,25.762178,25.226859,0.549226,6.212984,1.143002,80768,1.533214,2759,134.66,0,20.5,15.5,22.042434,-1.68160002624462,0.0488685175219112
18,0,2.5,6.221734,31.771239,22.412609,9.601756,4.677227,1.030683,34386,1.465807,8894,354,1,20.5,15.5,25.549505,-0.193859394039871,0.436908018474144
18,0,2.5,4.294807,23.421712,22.259748,1.19215,5.18972,1.016128,66152,1.313173,440,19.29,2,20.5,15.5,19.126905,-2.26105934051913,0.138056387791614
18,0,2.5,12.948272,28.829118,20.177028,8.87686,2.088246,1.412979,84293,1.313173,8880,346.71,2,20.5,15.5,15.880846,-0.922278186354155,1.48014258322309
18,0,2.5,10.51176,29.156337,23.772696,5.523502,3.830825,1.190552,21123,1.008266,505,20.33,3,20.5,15.5,18.644577,-0.841264363740372,1.1022582189594
18,0,2.5,6.98488,35.894933,25.405812,10.761616,5.321446,0.672035,14543,1.008266,249,9.96,3,20.5,15.5,28.910053,0.827096645277907,0.55526612262072
18,0,2.5,11.626795,33.806371,25.118343,8.913732,3.897444,0.976846,26228,1.008266,214,10.12,3,20.5,15.5,22.179576,0.310004448963239,1.27519161395469
18,0,2.5,5.700843,41.31283,23.668297,18.102917,5.190446,0.549074,2289,1.008266,222,8.79,3,20.5,15.5,35.611987,2.16847519144347,0.356121810819233
18,0,2.5,12.85471,31.635962,27.285689,4.463289,4.168827,1.147457,19496,1.008266,142,7.14,3,20.5,15.5,18.781252,-0.227351663381581,1.46563183306498
18,0,2.5,11.693901,35.626957,27.576063,8.260047,4.588046,0.848281,1067,1.008266,102,4.34,3,20.5,15.5,23.933056,0.760750375260727,1.28559924098394
18,0,2.5,-19.313526,28.19313,23.630139,4.681532,12.405584,0.497017,13979,1.008266,292,11.65,3,20.5,15.5,47.506656,-1.07973792743427,-3.52341538293254
18,0,2.5,11.509197,28.54416,24.230737,4.425481,3.675004,1.075167,3718,1.008266,329,15.66,3,20.5,15.5,17.034963,-0.992828908850032,1.25695306414715
18,0,2.5,-1.126427,36.542801,26.252123,10.558018,7.909127,0.569167,15166,1.008266,221,9.53,3,20.5,15.5,37.669228,0.987497670979796,-0.702735516214907
18,0,2.5,-2.918697,43.692963,26.352765,17.790676,8.455952,0.469113,1142,1.008266,187,7.27,3,20.5,15.5,46.61166,2.75775537584356,-0.980702876744588
18,0,2.5,7.991677,41.009787,26.503942,14.882689,5.347831,0.55161,16195,1.008266,54,2.68,3,20.5,15.5,33.01811,2.09344693255157,0.711412632175196
18,0,2.5,5.50795,35.658138,25.854478,10.058348,5.877713,0.677837,2190,1.008266,283,10.77,3,20.5,15.5,30.150188,0.768470257061358,0.326205582753902
18,0,2.5,12.403179,32.738818,25.272117,7.660677,3.717584,1.123256,5096,1.008266,251,11.14,3,20.5,15.5,20.335639,0.0456966020081037,1.39560283058917
18,0,2.5,6.588089,24.171033,22.384451,1.832996,4.563259,1.459137,2306,1.008266,665,28.23,3,20.5,15.5,17.582944,-2.07554028882964,0.493726875212722
18,0,2.5,8.509205,34.497711,28.128931,6.534234,5.667754,0.833723,21083,1.008266,212,8.22,3,20.5,15.5,25.988506,0.481168397651467,0.791677264267573
18,0,2.5,4.602453,42.466534,27.350902,15.508318,6.571581,0.616042,5034,1.008266,135,5.67,3,20.5,15.5,37.864081,2.45411255114695,0.185769927937638
18,0,2.5,5.97889,33.134406,21.118933,12.327621,4.373662,0.884128,19980,1.008266,543,21.91,3,20.5,15.5,27.155516,0.143637418587035,0.39924477259017
18,0,2.5,6.569115,32.923243,23.532825,9.634369,4.900484,0.651889,17034,1.008266,276,10.97,3,20.5,15.5,26.354128,0.0913570747665525,0.490784153023158
18,0,2.5,6.870996,44.133571,24.990727,19.640153,5.234435,0.478597,13281,1.008266,93,3.82,3,20.5,15.5,37.262575,2.86684237370803,0.53760358578946
18,0,2.5,9.341878,39.596255,26.516124,13.419937,4.961304,0.737784,12745,1.008266,140,6.01,3,20.5,15.5,30.254377,1.74348060814221,0.920818474015173
18,0,2.5,1.267789,44.444482,25.172555,19.772589,6.905619,0.436426,22684,1.008266,74,2.94,3,20.5,15.5,43.176693,2.94381861470466,-0.331410937854541
18,0,2.5,7.307426,35.633748,25.394405,10.505349,5.224974,0.695955,14691,1.008266,184,8.94,3,20.5,15.5,28.326322,0.762431710603021,0.605290538735148
18,0,2.5,1.977063,31.750165,23.309864,8.65957,6.162629,0.729249,27287,1.008266,398,16.55,3,20.5,15.5,29.773102,-0.199076955666069,-0.221407968618696
18,0,2.5,8.030171,36.305381,25.347171,11.242892,5.002542,0.810881,20765,1.008266,262,11,3,20.5,15.5,28.27521,0.928716543462859,0.717382756975717
18,0,2.5,4.870591,36.378725,21.045622,15.731439,4.67265,0.59038,9288,1.008266,346,12.44,3,20.5,15.5,31.508134,0.946875262259096,0.227356079643412
18,0,2.5,5.816737,45.71199,27.926,18.248049,6.386933,0.465386,301,1.008266,9,0.44,3,20.5,15.5,39.895253,3.25763189655428,0.374096083267707
18,0,2.5,6.100413,43.456477,25.844524,18.06949,5.703687,0.466451,2057,1.008266,8,0.37,3,20.5,15.5,37.356064,2.69920549073713,0.418092059859191
18,0,2.5,1.375847,42.037722,22.834487,19.702112,6.198981,0.531716,20571,1.008266,281,11.17,3,20.5,15.5,40.661875,2.34794604094228,-0.314651969036162
18,0,2.5,4.701064,32.12932,28.667938,3.551304,6.923561,0.947741,13806,1.008266,343,14.72,3,20.5,15.5,27.428256,-0.105204668564375,0.20106373935511
18,0,2.5,9.667608,45.233411,25.897005,19.838742,4.688355,0.648047,6987,1.008266,84,3.75,3,20.5,15.5,35.565803,3.13914392912976,0.971336704162045
18,0,2.5,7.831639,28.467958,22.232797,6.397142,4.160213,1.018559,35804,1.008266,539,22.82,3,20.5,15.5,20.636319,-1.01169521951908,0.68659196316637
18,0,2.5,0.555402,26.173668,24.668078,1.544704,6.96568,0.88206,99999,1.524605,329,12.14,4,20.5,15.5,25.618266,-1.57972214669806,-0.441896709566202
18,0,2.5,7.99155,29.029356,21.717153,7.502165,3.965058,0.923566,99999,1.524605,295,11.63,4,20.5,15.5,21.037806,-0.872702685504453,0.711392935447143
18,0,2.5,3.545332,30.425842,25.559093,4.993181,6.359344,0.896954,37612,1.524605,218,9.46,4,20.5,15.5,26.88051,-0.52695665887815,0.0218185511191356
18,0,2.5,0.94658,36.414124,26.123512,10.55795,7.273123,0.684885,99999,1.524605,98,4.41,4,20.5,15.5,35.467544,0.955639448650183,-0.381227995501201
18,0,2.5,5.714104,30.549065,23.598476,7.131157,5.166445,0.860705,47720,1.524605,193,9.64,4,20.5,15.5,24.834961,-0.496448753579441,0.358178490431113
18,0,2.5,12.359261,33.688588,24.242784,9.691195,3.432917,1.002399,66605,1.524605,121,4.53,4,20.5,15.5,21.329327,0.280843394535107,1.38879148489921
18,0,2.5,3.350864,35.05103,23.509115,11.84176,5.823324,0.678016,48755,1.524605,116,5.06,4,20.5,15.5,31.700166,0.618160709573561,-0.00834194739252066
18,0,2.5,-6.895293,29.314041,24.7817,4.650085,9.150863,0.671558,61386,1.524605,239,8.91,4,20.5,15.5,36.209334,-0.802219553134985,-1.59744248294951
18,0,2.5,-4.053067,36.726841,22.952647,14.132031,7.801422,0.523608,47035,1.524605,147,5.26,4,20.5,15.5,40.779908,1.03306282432921,-1.15663498226667
