Tmean,Tsd,Tsd_short,Tmin,Tmax,Topt,Lifespan,Rep
18,0,2.5,17.46577,35.496632,26.126445,204,0
18,0,2.5,6.398884,36.578503,27.85948,250,0
18,0,2.5,-9.006779,38.380026,25.846994,508,0
18,0,2.5,20.753545,33.258396,24.885346,165,0
18,0,2.5,6.287304,29.75699,24.574145,605,0
18,0,2.5,7.542699,34.357892,28.617634,85,0
18,0,2.5,9.607172,38.66616,24.66007,83,0
18,0,2.5,2.909563,26.460877,20.357169,102,0
18,0,2.5,4.092329,39.057884,28.642923,133,0
18,0,2.5,14.636609,30.243646,24.741152,179,0
18,0,2.5,1.871535,36.880767,23.406359,174,0
18,0,2.5,0.561714,29.5948,24.092246,246,0
18,0,2.5,5.214328,32.710295,29.043586,160,0
18,0,2.5,18.859729,24.981612,24.344898,154,0
18,0,2.5,8.591555,34.586435,23.359167,91,0
18,0,2.5,15.346984,36.934426,23.936227,162,0
18,0,2.5,1.613839,34.106901,24.502888,133,0
18,0,2.5,9.47949,31.676153,22.477617,151,0
18,0,2.5,5.143597,31.530348,24.071364,119,0
18,0,2.5,-13.407986,29.68755,25.469252,232,0
18,0,2.5,19.380084,31.775034,27.439371,134,0
18,0,2.5,3.06232,41.605493,27.781266,104,0
18,0,2.5,15.915354,29.105192,27.095974,86,0
18,0,2.5,20.459647,34.329496,24.165996,77,0
18,0,2.5,-5.81877,32.878878,20.483433,190,0
18,0,2.5,13.09239,42.06151,26.205053,73,0
18,0,2.5,4.148064,26.829906,23.00952,1265,0
18,0,2.5,5.520395,25.285344,23.509109,7969,0
18,0,2.5,0.780426,41.275807,24.007572,211,0
18,0,2.5,10.770792,35.160306,24.346475,155,0
18,0,2.5,7.077313,32.922947,25.580084,122,0
18,0,2.5,-1.228322,40.289101,23.793937,112,0
18,0,2.5,8.210875,35.804282,22.354619,222,0
18,0,2.5,16.325592,26.459112,23.488521,135,0
18,0,2.5,11.556609,28.709951,26.940851,139,0
18,0,2.5,3.297438,39.231518,23.139757,87,0
18,0,2.5,6.201755,30.366784,25.265713,120,0
18,0,2.5,-0.111149,41.754255,27.576369,158,0
18,0,2.5,2.100193,40.78734,23.932065,155,0
18,0,2.5,1.108003,39.547561,24.809831,98,0
18,0,2.5,18.22373,34.255421,26.158241,109,0
18,0,2.5,-5.644306,25.903264,25.479339,102,0
18,0,2.5,-1.047326,24.268471,19.284541,244,0
18,0,2.5,-3.199054,28.379352,22.480027,106,0
18,0,2.5,-6.111413,27.553668,22.974681,189,0
18,0,2.5,5.029854,36.523825,25.579518,160,0
18,0,2.5,0.925156,31.063455,24.114283,118,0
18,0,2.5,8.488342,38.262889,24.076707,105,0
18,0,2.5,8.14529,31.548971,23.243337,359,0
18,0,2.5,5.29672,35.951759,25.715413,145,0
18,0,2.5,20.034463,32.851337,23.468194,111,0
18,0,2.5,10.728939,27.524388,25.478901,641,0
18,0,2.5,23.849113,41.029464,27.589828,88,0
18,0,2.5,14.854626,42.435087,27.623551,120,0
18,0,2.5,17.201008,33.087473,25.957157,154,0
18,0,2.5,-4.474294,38.016856,20.970532,124,0
18,0,2.5,7.168631,33.552819,22.776937,361,0
18,0,2.5,13.79447,29.299188,25.469806,94,0
18,0,2.5,1.308752,31.514327,26.520437,142,0
18,0,2.5,12.448775,39.879139,23.384144,111,0
18,0,2.5,23.476629,35.49358,24.880278,130,0
18,0,2.5,4.898305,29.717075,22.38147,470,0
18,0,2.5,2.600335,37.190053,25.253237,183,0
