Tmean,Tsd,Tsd_short,Tmin,Tmax,Topt,Lifespan,Rep
14,0,2.5,17.46577,35.496632,26.126445,182,0
14,0,2.5,6.398884,36.578503,27.85948,282,0
14,0,2.5,-9.006779,38.380026,25.846994,557,0
14,0,2.5,6.287304,29.75699,24.574145,649,0
14,0,2.5,-2.463992,40.743827,26.892416,116,0
14,0,2.5,-5.681947,40.430219,24.815351,340,0
14,0,2.5,6.80989,29.936719,25.942114,457,0
14,0,2.5,14.231819,29.6358,24.642095,78,0
14,0,2.5,0.515237,37.88532,25.22371,102,0
14,0,2.5,15.070889,31.783606,24.728254,128,0
14,0,2.5,-10.261681,40.557907,26.603504,195,0
14,0,2.5,0.127256,29.6781,26.57184,124,0
14,0,2.5,4.524197,29.185138,19.763969,100,0
14,0,2.5,6.176785,36.213657,25.873825,108,0
14,0,2.5,0.04025,34.327517,25.325274,189,0
14,0,2.5,14.104781,35.41838,29.381918,88,0
14,0,2.5,6.148811,43.065818,25.606815,125,0
14,0,2.5,5.085108,32.626907,24.739067,188,0
14,0,2.5,-1.710325,31.301662,25.42478,260,0
14,0,2.5,12.301476,44.000507,24.965141,159,0
14,0,2.5,10.059432,36.408231,24.200783,209,0
14,0,2.5,-1.021512,31.432949,23.148757,696,0
14,0,2.5,3.405842,34.405461,24.10832,116,0
14,0,2.5,-13.701257,30.972782,22.199922,203,0
14,0,2.5,22.386361,40.549834,26.416849,82,0
14,0,2.5,4.409006,34.11879,26.339027,151,0
14,0,2.5,7.73421,30.935206,23.318847,290,0
14,0,2.5,12.535311,36.705918,25.710546,185,0
14,0,2.5,-3.294912,26.706239,25.240745,231,0
14,0,2.5,8.703611,42.17773,27.228746,115,0
14,0,2.5,11.161139,36.976968,26.71043,105,0
14,0,2.5,4.78972,25.77957,24.099418,194,0
14,0,2.5,13.367949,33.502886,23.722503,71,0
14,0,2.5,6.162337,35.534512,25.192833,112,0
14,0,2.5,11.184708,27.933782,22.880136,97,0
14,0,2.5,-8.427988,32.143413,24.490014,66,0
14,0,2.5,-11.809778,30.054407,21.3306,212,0
14,0,2.5,19.990105,41.857556,26.944596,95,0
14,0,2.5,25.077304,37.822969,28.215778,102,0
14,0,2.5,19.989293,31.974909,26.173952,118,0
14,0,2.5,0.350133,33.877472,25.636301,126,0
14,0,2.5,-1.516233,37.630019,25.581984,243,0
14,0,2.5,2.601521,33.742143,22.313361,191,0
14,0,2.5,5.421074,39.73396,24.161345,131,0
14,0,2.5,5.788348,32.802228,23.85145,175,0
14,0,2.5,5.483187,30.059446,24.935046,173,0
14,0,2.5,18.009253,33.532366,27.654778,39,0
14,0,2.5,10.264115,35.123899,26.272251,109,0
14,0,2.5,4.48468,22.872046,22.460529,456,0
14,0,2.5,-8.798368,35.173282,26.014762,135,0
14,0,2.5,-8.778619,39.876612,24.232515,225,0
14,0,2.5,16.923175,36.781489,25.381109,68,0
14,0,2.5,-3.190698,35.21895,25.881263,322,0
14,0,2.5,-8.324549,36.270545,24.439666,186,0
14,0,2.5,15.479354,35.050795,24.57981,77,0
14,0,2.5,4.523297,35.161453,26.897335,87,0
14,0,2.5,8.146682,33.77949,24.579929,173,0
14,0,2.5,9.395105,42.820451,24.775823,71,0
14,0,2.5,-0.268028,26.975474,26.112368,260,0
14,0,2.5,-2.110085,25.08001,23.655531,188,0
14,0,2.5,15.581103,36.941278,21.379909,128,0
14,0,2.5,13.439526,36.647568,27.720445,221,0
14,0,2.5,3.643835,32.259314,23.355094,55517,0
14,0,2.5,9.492135,38.180607,26.688967,74,0
14,0,2.5,10.992482,38.283352,25.091712,120,0
14,0,2.5,11.082701,35.035419,20.244366,217,0
14,0,2.5,9.352827,35.57815,25.239341,140,0
14,0,2.5,8.819906,35.797454,24.61488,173,0
14,0,2.5,-8.908429,39.721097,25.520443,130,0
14,0,2.5,1.056699,39.63081,25.115513,150,0
14,0,2.5,24.36048,43.894783,27.836055,65,0
14,0,2.5,-13.264215,42.082021,21.759888,124,0
14,0,2.5,-0.679367,33.353259,23.118798,235,0
14,0,2.5,7.999447,34.803623,24.659487,130,0
14,0,2.5,-0.40879,36.302876,26.173034,174,0
14,0,2.5,5.049269,31.399081,26.074176,176,0
14,0,2.5,23.511055,34.494509,25.480245,99,0
14,0,2.5,3.106201,38.325626,26.933413,222,0
14,0,2.5,15.18997,34.860685,26.702082,89,0
14,0,2.5,13.589908,36.605408,26.675051,75,0
14,0,2.5,2.25867,34.153376,24.320834,202,0
14,0,2.5,-0.040372,33.24471,27.17071,256,0
14,0,2.5,11.288095,28.069927,25.783367,130,0
14,0,2.5,12.140314,30.47269,27.618658,107,0
14,0,2.5,23.125839,29.005323,24.586019,81,0
14,0,2.5,9.26859,31.177831,24.240172,145,0
14,0,2.5,7.895948,40.627926,27.266853,135,0
14,0,2.5,22.181614,40.270181,26.709626,46,0
14,0,2.5,-17.191825,41.220843,28.112114,100,0
14,0,2.5,-5.19891,32.96781,26.765834,148,0
14,0,2.5,21.299548,33.561173,26.529314,87,0
14,0,2.5,20.89806,36.030147,24.106472,148,0
14,0,2.5,24.416699,36.862292,28.169935,60,0
14,0,2.5,1.955086,41.52809,24.65648,239,0
14,0,2.5,17.287996,38.710694,25.089491,87,0
14,0,2.5,16.617279,38.015384,27.527812,172,0
14,0,2.5,-3.333212,31.31329,22.550127,249,0
14,0,2.5,5.894112,28.611683,23.871089,39400,0
14,0,2.5,6.02084,40.181622,24.139613,65,0
14,0,2.5,6.091454,34.039924,26.717686,194,0
14,0,2.5,7.902469,29.201858,24.725087,204,0
14,0,2.5,-12.223523,34.843454,22.718629,310,0
14,0,2.5,22.473166,43.583266,28.6019,104,0
14,0,2.5,3.147308,40.042993,27.069621,115,0
14,0,2.5,11.560339,40.370808,27.657272,106,0
14,0,2.5,3.542847,42.274475,22.479813,227,0
14,0,2.5,4.738332,39.438999,23.607642,181,0
14,0,2.5,-0.103075,33.550249,23.134914,200,0
14,0,2.5,4.000566,38.197028,24.567219,90,0
14,0,2.5,10.267752,41.201013,26.84738,68,0
14,0,2.5,8.078199,28.799235,24.935155,218,0
14,0,2.5,0.653642,31.762894,21.487656,129,0
14,0,2.5,9.136763,29.860625,23.959195,138,0
14,0,2.5,18.363419,30.347629,25.435783,179,0
14,0,2.5,-3.807591,26.260295,23.755651,162,0
14,0,2.5,17.04728,32.82563,25.216505,189,1
14,0,2.5,11.181757,31.841865,24.694844,360,1
14,0,2.5,7.81428,40.40927,27.264941,419,1
14,0,2.5,10.635651,42.939404,25.459845,90,1
14,0,2.5,2.377015,39.695148,23.23414,1281,1
14,0,2.5,5.803692,30.353666,23.603688,1454,1
14,0,2.5,12.844732,31.088795,26.121982,150,1
14,0,2.5,9.175594,29.892616,23.955208,164,1
14,0,2.5,-6.61844,31.764293,27.237671,218,1
14,0,2.5,5.367294,37.675494,20.959618,160,1
14,0,2.5,11.788339,34.333612,24.757103,91,1
14,0,2.5,3.348325,34.568674,24.379512,194,1
14,0,2.5,-0.831433,26.735076,22.443617,129,1
14,0,2.5,3.141677,30.027689,25.164517,113,1
14,0,2.5,4.433131,41.585205,28.138369,132,1
14,0,2.5,10.442117,39.50405,24.619301,185,1
14,0,2.5,-5.120836,41.646815,28.226183,160,1
14,0,2.5,9.452791,34.695871,27.554944,73,1
14,0,2.5,-2.99165,28.826763,24.888465,224,1
14,0,2.5,-0.768764,42.280519,25.431603,130,1
14,0,2.5,-2.479059,31.95115,23.661799,122,1
14,0,2.5,13.906956,31.909103,22.680717,152,1
14,0,2.5,6.657423,38.432568,21.195999,102,1
14,0,2.5,18.549891,42.093535,28.903782,62,1
14,0,2.5,13.390314,31.327536,24.329386,123,1
14,0,2.5,-1.86613,35.856528,25.145793,252,1
14,0,2.5,11.82558,34.136994,27.4758,141,1
14,0,2.5,11.509584,37.527402,24.055646,155,1
14,0,2.5,12.102498,27.133963,22.98406,86,1
14,0,2.5,-6.838832,39.300223,25.008065,143,1
14,0,2.5,4.646698,34.501077,23.572287,341,1
14,0,2.5,5.350643,34.918161,27.384948,105,1
14,0,2.5,20.64401,34.384562,26.701369,91,1
14,0,2.5,24.816898,41.143367,29.363325,61,1
14,0,2.5,0.078556,29.880051,24.22907,221,1
14,0,2.5,9.046625,33.866717,22.954422,86,1
14,0,2.5,10.172509,39.076435,25.78173,202,1
14,0,2.5,-6.740307,37.46759,26.547032,381,1
14,0,2.5,-0.853463,29.31042,25.995121,92,1
14,0,2.5,14.579043,38.306071,26.22423,102,1
14,0,2.5,12.184109,34.762599,23.904851,169,1
14,0,2.5,27.190851,27.852729,27.693477,82,1
14,0,2.5,19.043224,31.445025,27.153015,78,1
14,0,2.5,15.313953,35.984254,24.145107,118,1
14,0,2.5,16.754936,34.313184,25.152805,188,1
14,0,2.5,14.0032,34.578103,25.890191,161,1
14,0,2.5,9.591256,32.545224,23.956589,148,1
14,0,2.5,6.597092,38.221256,24.756017,710,1
14,0,2.5,2.727344,37.750657,27.782984,156,1
14,0,2.5,9.272571,37.499547,28.292893,164,1
14,0,2.5,2.87315,43.254144,26.92383,4746,1
14,0,2.5,10.251009,33.835839,24.559398,380,1
14,0,2.5,23.503624,38.931735,25.902983,149,1
14,0,2.5,11.87058,30.369765,25.369471,19740,1
