Tmean,Tsd,Tsd_short,Tmin,Tmax,Topt,Lifespan,Rep
18,0,0,17.46577,35.496632,26.126445,142,0
18,0,0,6.398884,36.578503,27.85948,290,0
18,0,0,-9.006779,38.380026,25.846994,364,0
18,0,0,6.287304,29.75699,24.574145,664,0
18,0,0,11.216201,27.789414,25.198599,296,0
18,0,0,12.048525,39.283609,27.761717,103,0
18,0,0,5.421223,31.359377,27.218491,137,0
18,0,0,-10.40756,37.198778,24.246214,106,0
18,0,0,-3.227592,36.24954,24.176197,87,0
18,0,0,8.54045,31.632975,26.658198,145,0
18,0,0,2.992161,37.887707,26.405362,197,0
18,0,0,20.106901,36.456963,22.797204,113,0
18,0,0,0.889657,41.574988,25.995142,129,0
18,0,0,17.354352,37.21184,24.211171,150,0
18,0,0,7.658771,43.056082,26.089793,159,0
18,0,0,-12.761725,31.019209,21.017474,103,0
18,0,0,19.101191,34.941084,27.473554,76,0
18,0,0,3.546702,35.098738,25.185716,134,0
18,0,0,4.72171,27.643862,25.595323,213,0
18,0,0,8.400215,35.157682,22.159389,218,0
18,0,0,25.664248,27.711925,26.153834,76,0
18,0,0,19.312782,36.142062,26.087661,119,0
18,0,0,12.534625,27.879962,25.219282,728,0
18,0,0,12.04624,33.684389,22.16515,166,0
18,0,0,24.798455,36.232984,26.00606,80,0
18,0,0,14.573257,42.960962,24.535434,163,0
18,0,0,7.867509,39.93305,26.217772,162,0
18,0,0,3.911676,37.050237,25.442577,135,0
18,0,0,6.518138,31.843499,25.58027,123,0
18,0,0,14.962057,32.42294,23.084071,145,0
18,0,0,10.682227,36.612427,23.735447,142,0
18,0,0,-2.355111,30.380702,22.587394,193,0
18,0,0,0.59492,41.356673,22.952799,167,0
18,0,0,14.942061,27.092772,26.634001,90,0
18,0,0,20.437655,36.163457,23.613743,74,0
18,0,0,-2.650018,30.116921,23.935961,117,0
18,0,0,22.679273,41.068364,27.230021,75,0
18,0,0,-1.119258,41.127115,25.652512,105,0
18,0,0,-9.740792,35.096387,25.063218,250,0
18,0,0,17.560349,38.048359,24.757444,86,0
18,0,0,-1.444183,31.119376,24.601507,102,0
18,0,0,-1.403637,43.334239,23.580971,93,0
