Tmean,Tsd,Tsd_short,Tmin,Tmax,Topt,Lifespan,Rep
18,0,0,-3.135597,8.54232,4.731194,155,0
18,0,0,-7.032759,18.617123,11.918566,199,0
18,0,0,-1.898161,18.844407,11.132588,298,0
18,0,0,-7.442631,21.197429,15.273095,442,0
18,0,0,-7.227317,23.200959,19.61984,215,0
18,0,0,22.527122,34.816788,29.420468,97,0
18,0,0,5.48112,17.119988,10.249975,45,0
18,0,0,11.350387,15.708695,11.479879,53,0
18,0,0,17.054585,32.224335,28.413593,117,0
18,0,0,9.5174,31.90542,28.601676,184,0
18,0,0,18.061151,28.058858,25.593163,108,0
18,0,0,5.729684,19.590944,13.818368,210,0
18,0,0,5.880729,35.402703,30.087055,85,0
18,0,0,-3.466759,13.287938,10.832898,121,0
18,0,0,11.419214,16.848454,14.723156,113,0
18,0,0,-13.731838,9.147972,7.161376,80,0
18,0,0,-11.476324,30.748953,26.626526,138,0
18,0,0,1.64422,23.123194,18.407797,3691,0
18,0,0,2.40718,24.114169,18.326709,15493,0
18,0,0,4.56158,23.002211,17.030214,401,0
18,0,0,-5.051833,18.508867,16.034515,137,0
18,0,0,-6.758487,23.928854,16.342795,177,0
18,0,0,-3.344689,38.056298,28.909358,108,0
18,0,0,-4.693617,22.898596,18.953764,129,0
18,0,0,6.140555,23.53255,20.051686,771,0
18,0,0,6.08801,19.330876,16.090202,101,0
18,0,0,9.175146,12.985314,9.923849,93,0
18,0,0,25.222739,46.44895,36.843067,103,0
18,0,0,1.396912,19.025247,17.876753,9746,0
18,0,0,0.333084,29.549025,23.542243,111,0
18,0,0,-20.815241,15.653424,9.849763,55,0
18,0,0,4.563485,9.217461,6.659623,202,0
18,0,0,7.521222,34.992123,25.78784,86,0
18,0,0,2.747814,31.31142,24.970802,208,0
18,0,0,-2.481809,12.612517,11.804435,68,0
18,0,0,3.04546,19.634548,17.312516,251,0
18,0,0,-16.903988,7.246908,5.70664,118,0
18,0,0,-18.029867,19.934652,15.647581,98,0
18,0,0,6.808115,33.364281,28.070944,68,0
18,0,0,3.80871,22.819967,17.541305,298,0
18,0,0,8.243455,25.392214,19.676246,212,0
18,0,0,-0.953174,29.368978,24.784387,277,0
18,0,0,-19.696174,7.796851,4.657414,174,0
18,0,0,14.688104,30.131493,23.619945,125,0
18,0,0,9.209919,28.449988,25.737521,206,0
18,0,0,-15.607152,24.317396,20.215455,149,0
18,0,0,-6.697893,14.4353,6.457863,109,0
18,0,0,-5.364384,21.075654,14.845336,162,0
18,0,0,-8.18517,10.730946,1.8194,113,0
18,0,0,-4.732121,23.029296,20.63069,136,0
18,0,0,-18.01599,7.222541,5.458678,67,0
18,0,0,3.749066,26.421286,17.858831,125,0
18,0,0,-1.053639,27.548752,20.007365,118,0
18,0,0,-26.898248,16.346813,10.60564,121,0
18,0,0,-4.993902,28.308347,24.807424,125,0
18,0,0,-1.778473,25.156537,14.597421,134,0
18,0,0,7.989188,13.546459,8.824357,96,0
18,0,0,7.014567,28.290877,20.305116,335,0
18,0,0,7.219823,24.555936,21.610557,269,0
18,0,0,28.332944,36.826809,30.441306,117,0
18,0,0,-4.52902,20.686096,14.868251,151,0
18,0,0,11.370369,24.144043,20.515568,310,0
18,0,0,28.162685,45.958887,39.478836,99,0
18,0,0,-0.065122,16.72319,12.976162,71,0
18,0,0,-3.948861,18.299004,12.643598,105,0
18,0,0,3.828816,29.332183,24.92485,110,0
18,0,0,18.745844,25.190518,19.146946,51,0
18,0,0,16.747304,29.079825,27.993564,65,0
18,0,0,-10.521722,24.730427,21.404713,85,0
18,0,0,25.41869,43.23607,36.92636,74,0
18,0,0,2.814042,17.666696,12.184573,125,0
18,0,0,-18.33622,16.558099,12.724841,72,0
18,0,0,5.667271,31.017093,23.524312,107,0
18,0,0,6.307391,22.934892,18.789979,237,0
18,0,0,-6.297421,24.615587,17.558891,140,0
18,0,0,-13.746318,16.376891,15.626057,60,0
18,0,0,11.119128,31.347407,27.036876,113,0
18,0,0,-7.739265,12.532951,10.149707,68,0
18,0,0,7.826021,26.514317,20.699874,182,0
18,0,0,-21.097594,4.762313,0.378423,104,0
18,0,0,5.985507,25.434935,23.846567,176,0
18,0,0,2.19387,25.615287,19.248174,206,0
18,0,0,21.837179,27.166196,22.528275,134,0
18,0,0,6.308616,22.994717,15.038772,307,0
18,0,0,-2.449034,26.16838,21.390011,102,0
18,0,0,26.829372,51.464081,43.18082,98,0
18,0,0,16.667336,31.786003,25.428916,159,0
18,0,0,-13.609868,26.786383,19.585004,109,0
18,0,0,-2.271218,27.671064,21.295422,184,0
18,0,0,18.208112,27.255733,24.588603,78,0
18,0,0,-8.30242,27.613762,22.779245,161,0
18,0,0,-1.28581,22.169295,15.234594,199,0
18,0,0,-7.966237,26.655227,15.964043,163,0
18,0,0,-2.518467,16.927177,13.195046,64,0
18,0,0,-7.324412,27.527213,20.555581,92,0
18,0,0,26.382464,50.593689,41.548105,69,0
