Tmean,Tsd,Tsd_short,Tmin,Tmax,Topt,Lifespan,Rep
18,0,2.5,7.348645,31.738524,26.388576,203,0
18,0,2.5,17.501994,28.409518,24.403405,326,0
18,0,2.5,-8.820434,37.725384,23.068994,417,0
18,0,2.5,3.086581,37.559244,25.149928,425,0
18,0,2.5,3.962753,37.286636,21.54094,724,0
18,0,2.5,12.245562,37.089152,26.428286,251,0
18,0,2.5,10.955277,42.407516,26.407737,218,0
18,0,2.5,14.079183,26.444245,26.154274,130,0
18,0,2.5,5.34464,31.58441,24.911909,263,0
18,0,2.5,8.26104,37.723389,27.338759,134,0
18,0,2.5,21.007154,29.885494,26.629507,95,0
18,0,2.5,-16.009515,33.147472,21.653887,84,0
18,0,2.5,2.236948,34.25331,22.343744,475,0
18,0,2.5,15.57767,26.862595,24.014985,85,0
18,0,2.5,4.582187,32.631171,26.022692,121,0
18,0,2.5,8.70098,36.831773,21.432083,306,0
18,0,2.5,7.765092,34.892269,23.612941,219,0
18,0,2.5,15.023705,35.356857,24.983195,138,0
18,0,2.5,4.838524,30.624214,20.696113,427,0
18,0,2.5,11.635494,31.295437,23.05457,338,0
18,0,2.5,-1.301352,34.06146,23.12263,203,0
18,0,2.5,21.719407,28.173683,25.452607,103,0
18,0,2.5,-0.162902,36.793944,25.702525,127,0
18,0,2.5,13.37322,37.136345,24.455223,93,0
18,0,2.5,-6.738303,37.445528,21.89014,265,0
18,0,2.5,10.693167,31.034838,26.862491,314,0
18,0,2.5,9.26941,38.789596,22.324136,112,0
18,0,2.5,7.046613,27.664811,23.334215,1411,0
18,0,2.5,21.391947,32.922551,27.006936,84,0
18,0,2.5,9.64606,40.7586,23.066663,100,0
18,0,2.5,6.383765,35.859575,21.471185,231,0
18,0,2.5,14.5168,33.513765,26.06519,111,0
18,0,2.5,-0.774341,31.171716,20.653754,157,0
18,0,2.5,-3.059247,33.807873,26.035533,278,0
18,0,2.5,9.676351,32.743602,24.017869,275,0
18,0,2.5,15.272104,33.697219,25.84882,73,0
18,0,2.5,16.786095,36.764284,23.624733,111,0
18,0,2.5,16.906531,25.966223,22.917862,349,0
18,0,2.5,15.66102,38.832655,26.075635,99,0
18,0,2.5,14.415242,27.553085,22.506236,356,0
18,0,2.5,-9.261164,34.535955,26.455845,145,0
18,0,2.5,12.367737,36.555583,27.415686,143,0
18,0,2.5,9.767844,28.857891,21.755619,44104,0
18,0,2.5,10.455875,37.476339,28.029035,125,0
18,0,2.5,7.059172,43.410668,24.420866,106,0
18,0,2.5,7.600004,35.367562,26.008204,271,0
18,0,2.5,-18.186975,32.731033,23.122577,118,0
18,0,2.5,13.043797,28.941527,25.794252,140,0
18,0,2.5,18.836056,43.746999,24.388183,172,0
18,0,2.5,12.360591,32.759628,24.745201,76,0
18,0,2.5,1.896664,41.023858,23.572124,111,0
18,0,2.5,3.817873,38.088461,25.057218,186,0
18,0,2.5,4.209252,34.980953,22.736263,210,0
18,0,2.5,-8.399075,32.229111,21.214428,190,0
18,0,2.5,-1.013291,28.265456,22.178042,285,0
18,0,2.5,12.935628,41.190044,30.191658,55,0
18,0,2.5,15.638889,32.886207,25.79592,73,0
18,0,2.5,3.551799,42.317188,25.594639,111,0
18,0,2.5,-4.82997,36.570781,25.110143,192,0
18,0,2.5,7.407251,37.454786,25.899541,150,0
18,0,2.5,-1.652167,33.547116,24.109999,402,0
18,0,2.5,12.678831,28.206403,26.334208,242,0
18,0,2.5,11.67877,36.354334,23.686528,177,0
18,0,2.5,5.193714,31.415316,25.660488,218,0
18,0,2.5,25.977173,37.818622,26.649948,118,0
18,0,2.5,-5.90208,38.49608,25.057257,220,0
18,0,2.5,2.179849,30.784113,25.426302,275,0
18,0,2.5,7.88551,31.714445,17.727456,2690,0
18,0,2.5,5.951151,46.96587,27.346308,121,0
18,0,2.5,20.355677,51.420284,27.510752,131,0
18,0,2.5,12.286409,29.980821,21.558323,334,0
18,0,2.5,1.242865,35.88747,23.742635,271,0
18,0,2.5,16.487429,30.445888,24.947412,276,0
18,0,2.5,22.745249,33.307147,23.066774,154,0
18,0,2.5,20.397388,30.788695,25.618045,120,0
18,0,2.5,12.554965,36.454836,24.79399,227,0
18,0,2.5,5.542339,38.539469,26.057939,179,0
18,0,2.5,23.735292,34.604518,27.84231,102,0
18,0,2.5,17.549145,38.695755,30.869759,198,0
18,0,2.5,13.260046,35.148653,25.526099,287,0
18,0,2.5,6.502504,37.574509,26.082275,99,0
18,0,2.5,7.273944,34.411818,26.864942,259,0
18,0,2.5,5.734339,35.869384,25.238532,426,0
18,0,2.5,-4.531947,30.121714,25.767084,161,0
18,0,2.5,18.245689,38.397403,25.857383,94,0
18,0,2.5,14.401579,34.29685,25.526354,68,0
18,0,2.5,11.966534,38.435499,27.264419,157,0
18,0,2.5,10.045948,28.274248,23.127224,561,0
18,0,2.5,10.067786,42.399966,26.668091,163,0
18,0,2.5,-4.8761,25.750433,22.50342,407,0
18,0,2.5,17.136629,37.555706,23.559529,82,0
18,0,2.5,0.418409,32.938706,21.236758,165,0
18,0,2.5,-3.334888,34.548516,21.71244,219,0
18,0,2.5,-4.202489,31.186032,28.121266,279,0
18,0,2.5,-14.068546,34.935245,23.130523,773,1
18,0,2.5,6.391958,38.676943,23.455181,1134,1
18,0,2.5,11.934646,32.5288,25.733738,1492,1
18,0,2.5,11.665801,32.570465,24.286282,1916,1
18,0,2.5,10.466054,34.568034,25.913284,211,1
18,0,2.5,-2.001956,32.078976,26.391737,2056,1
18,0,2.5,8.959705,34.3927,24.638241,445,1
18,0,2.5,3.871873,36.19099,26.098077,261,1
18,0,2.5,14.338811,33.595976,27.056675,218,1
18,0,2.5,15.686043,41.514693,26.063984,62,1
18,0,2.5,0.38395,32.45464,24.665101,6443,1
18,0,2.5,23.477658,37.678901,27.854147,97,1
18,0,2.5,13.718081,39.659129,26.738219,180,1
18,0,2.5,-11.975128,37.685146,27.090835,136,1
18,0,2.5,16.622117,42.536723,29.519547,160,1
18,0,2.5,2.223308,29.374842,25.02076,8172,1
18,0,2.5,7.566819,35.548479,24.983969,281,1
18,0,2.5,14.89065,30.709173,23.679279,175,1
