Tmean,Tsd,Tsd_short,CTmin,CTmax,Topt,Inc,Sigma,Scale,Tpers,Fec,Dens,BRate,Rep,Tmax,Tmin,CTrange,CTmax_sd,CTmin_sd
18,0,2.5,-7.022056,21.451596,17.016839,4.549967,6.944366,0.794922,134,0.675647,6,0.45,0,20.5,15.5,28.473652,-1.272522895276,-1.47937553867831
18,0,2.5,13.07471,26.34326,20.485593,6.009841,2.140859,1.563311,88224,0.675647,2371,83.47,0,20.5,15.5,13.26855,0.0773024322715923,1.49822768210927
18,0,2.5,7.604259,25.050416,20.154779,5.02282,3.625599,1.247663,86203,0.675647,1370,55.31,0,20.5,15.5,17.446157,-0.279450111600583,0.687707595605769
18,0,2.5,8.885221,23.328355,22.333634,1.020562,3.884983,1.611826,59473,0.675647,5175,218.77,0,20.5,15.5,14.443134,-0.754642511033974,0.877499155944706
18,0,2.5,15.2778,20.470821,20.204468,0.273272,1.423218,4.508924,99999,1.784503,1548,64.79,1,20.5,15.5,5.193021,-1.54316187122069,1.82464477228611
18,0,2.5,11.142622,20.203033,17.818417,2.446566,1.928506,2.415338,6007,1.784503,975,43.87,1,20.5,15.5,9.060411,-1.61705636291376,1.2119631432454
18,0,2.5,8.235003,25.984668,20.551921,5.573883,3.558116,1.21682,35330,1.784503,1510,72.36,1,20.5,15.5,17.749665,-0.021648878336811,0.781160709698476
18,0,2.5,11.981262,22.997584,19.860467,3.218615,2.276148,1.973363,29378,1.784503,4457,172.95,1,20.5,15.5,11.016322,-0.845916783636966,1.33621881528146
18,0,2.5,4.730888,24.785792,22.436411,2.410415,5.114779,1.142696,6232,1.126844,403,15.15,2,20.5,15.5,20.054904,-0.352471516479773,0.261979458843982
18,0,2.5,7.176951,20.471083,17.622081,2.923016,3.017394,1.671348,48001,1.126844,268,10.84,2,20.5,15.5,13.294132,-1.54308957389286,0.624396231127111
18,0,2.5,16.294884,22.537016,20.897625,1.68198,1.329642,3.506449,23174,1.126844,157,6.69,2,20.5,15.5,6.242132,-0.973007759521234,1.97533929667932
18,0,2.5,12.531309,23.755068,19.980007,3.873133,2.151783,1.906747,13782,1.126844,387,15.04,2,20.5,15.5,11.223759,-0.636893619247086,1.41771559534968
18,0,2.5,-1.799738,28.246411,19.853496,8.610953,6.255195,0.724735,24076,1.126844,223,8.93,2,20.5,15.5,30.046149,0.602465530543987,-0.705619656922161
18,0,2.5,7.196451,29.715102,24.526302,5.323599,5.006255,0.981741,39542,1.126844,250,9.31,2,20.5,15.5,22.518651,1.00774199886667,0.627285415526499
18,0,2.5,5.392808,24.369491,20.629202,3.837457,4.401496,1.17721,37084,1.126844,400,15.6,2,20.5,15.5,18.976683,-0.467347279345617,0.36005171205645
18,0,2.5,2.376633,21.385976,17.947954,3.527338,4.49825,1.18123,12798,1.126844,324,12.32,2,20.5,15.5,19.009343,-1.29063034051216,-0.086834736960221
18,0,2.5,11.388126,27.120242,23.749453,3.458358,3.570945,1.41236,15165,1.126844,328,10.96,2,20.5,15.5,15.732116,0.291705952760446,1.2483378266704
18,0,2.5,7.227465,26.743645,18.138788,8.828401,3.152068,1.06303,50313,1.126844,357,15.19,2,20.5,15.5,19.51618,0.187786270444072,0.63188055219125
18,0,2.5,-1.716492,21.258771,15.502074,5.906249,4.974107,0.956227,27488,1.126844,170,6.87,2,20.5,15.5,22.975263,-1.32573179694716,-0.693285654639521
18,0,2.5,3.255992,23.589769,18.335093,5.391187,4.356057,1.077823,43247,1.126844,371,14.41,2,20.5,15.5,20.333777,-0.682506886392639,0.0434539965916621
18,0,2.5,-3.671146,25.344764,24.537875,0.827851,8.149034,0.813274,22923,1.126844,239,8.96,2,20.5,15.5,29.01591,-0.198226547285254,-0.982893646588341
18,0,2.5,-9.425182,28.961808,23.753434,5.343681,9.584652,0.593437,11342,1.126844,130,4.73,2,20.5,15.5,38.38699,0.799875039833988,-1.83543062324059
18,0,2.5,5.572302,28.309067,17.969231,10.608453,3.58123,0.908772,43853,1.126844,361,13.89,2,20.5,15.5,22.736765,0.619755077766123,0.386646135881261
18,0,2.5,14.667576,25.98991,20.355752,5.780526,1.643203,1.802434,42549,1.126844,327,12.1,2,20.5,15.5,11.322334,-0.0202023798923137,1.73423196916138
18,0,2.5,-1.594192,26.062058,21.260036,4.926774,6.602139,0.813772,46454,1.126844,289,11.37,2,20.5,15.5,27.65625,-0.000293572228519404,-0.675165282739767
18,0,2.5,-0.995867,26.53268,21.459084,5.205402,6.486796,0.814788,30829,1.126844,273,9.67,2,20.5,15.5,27.528547,0.12957174462503,-0.586515474751869
18,0,2.5,10.166686,25.436453,19.58571,6.002738,2.720971,1.381997,49221,1.126844,386,14.73,2,20.5,15.5,15.269767,-0.172925517930516,1.06736524242482
18,0,2.5,-8.064352,22.672778,17.430755,5.378205,7.365037,0.732924,15856,1.126844,148,6.09,2,20.5,15.5,30.73713,-0.935545050283945,-1.63380555625497
18,0,2.5,4.986854,33.266231,26.048059,7.405691,6.08417,0.77575,45175,1.126844,129,4.18,2,20.5,15.5,28.279377,1.98765473726995,0.299904226740076
18,0,2.5,-2.391557,28.30631,22.278689,6.184212,7.126751,0.727894,27092,1.126844,264,8.96,2,20.5,15.5,30.697867,0.618994300159965,-0.793305514463781
18,0,2.5,0.95051,27.673528,21.268347,6.57158,5.869425,0.8249,13365,1.126844,261,10.67,2,20.5,15.5,26.723018,0.444381904374763,-0.298133830458112
18,0,2.5,3.366701,20.003327,14.007945,6.151134,3.074047,1.277112,22008,1.126844,138,5.77,2,20.5,15.5,16.636626,-1.67216403524433,0.0598570076517586
18,0,2.5,-7.633047,23.606197,16.944612,6.834645,7.100004,0.711493,6952,1.126844,155,5.89,2,20.5,15.5,31.239244,-0.677973678371616,-1.56990198305608
18,0,2.5,-5.534035,29.219409,22.851043,6.533808,8.199893,0.645618,20564,1.126844,163,6.31,2,20.5,15.5,34.753444,0.87095849000587,-1.25890543308024
18,0,2.5,7.821823,25.859151,20.663913,5.330204,3.709828,1.204032,87656,1.126844,395,15.37,2,20.5,15.5,18.037328,-0.0562845413009463,0.719942596358001
18,0,2.5,13.453643,25.649413,19.649584,6.155697,1.789886,1.676075,12806,1.126844,366,13.97,2,20.5,15.5,12.19577,-0.114160483832808,1.55437164682791
18,0,2.5,-10.437464,25.110648,20.684756,4.540872,8.9906,0.643137,7340,1.126844,177,6.61,2,20.5,15.5,35.548112,-0.262829452632828,-1.98541366745503
18,0,2.5,8.22467,22.853672,18.34091,4.629998,2.922384,1.475312,79021,1.126844,331,13.56,2,20.5,15.5,14.629002,-0.88562843646881,0.779629738293405
18,0,2.5,8.40183,19.63381,16.510004,3.204959,2.342293,1.939429,4125,1.126844,139,6.81,2,20.5,15.5,11.23198,-1.77413003404543,0.805878348970105
18,0,2.5,-3.219186,23.654972,21.672704,2.033765,7.190779,0.864865,20731,1.126844,283,11.57,2,20.5,15.5,26.874158,-0.664514509804206,-0.915929760375646
18,0,2.5,6.726367,26.922532,21.074378,6.000081,4.14486,1.074822,21842,1.126844,366,14.2,2,20.5,15.5,20.196165,0.237149064652548,0.557636217618701
18,0,2.5,1.083464,24.327126,15.800564,8.748072,4.251482,0.912325,35571,1.126844,290,11.03,2,20.5,15.5,23.243662,-0.479037646877311,-0.278434926733175
18,0,2.5,12.917329,20.412738,19.513574,0.922523,1.905526,3.05465,99999,1.173561,193,7.75,3,20.5,15.5,7.495409,-1.55918952653388,1.47490959339337
18,0,2.5,7.697912,23.419744,20.591696,2.901517,3.724762,1.428673,99999,1.173561,334,12.63,3,20.5,15.5,15.721832,-0.729424264879036,0.701583533377867
18,0,2.5,-2.888537,25.917405,20.087179,5.981689,6.637234,0.774226,10880,1.173561,158,7.08,3,20.5,15.5,28.805942,-0.0402096995638688,-0.8669397125565
18,0,2.5,-11.185948,24.362328,16.815441,7.742946,8.089053,0.625434,457,1.173561,90,3.64,3,20.5,15.5,35.548276,-0.469323866212832,-2.09631152878794
18,0,2.5,9.406104,23.70516,18.271944,5.574365,2.561167,1.477217,52324,1.173561,248,11.28,3,20.5,15.5,14.299056,-0.650665432365739,0.954674901457864
18,0,2.5,12.01851,25.130255,17.8414,7.478211,1.682119,1.530774,22010,1.173561,285,11.41,3,20.5,15.5,13.111745,-0.257419018637928,1.3417376019742
18,0,2.5,-2.242673,30.579648,21.214055,9.6089,6.776189,0.662214,83100,1.173561,103,3.52,3,20.5,15.5,32.822321,1.24630827971302,-0.771246369329498
18,0,2.5,11.283012,25.275848,23.357699,1.96798,3.488141,1.627262,56437,1.173561,206,9.36,3,20.5,15.5,13.992836,-0.217243503943207,1.23276378928797
