Tmean,Tsd,Tsd_short,Tmin,Tmax,Topt,Lifespan,Rep
14,0,2.5,5.742069,29.437453,22.581589,376,0
14,0,2.5,5.453345,32.965565,27.066142,396,0
14,0,2.5,10.226473,32.776143,23.764769,398,0
14,0,2.5,5.009584,31.988247,22.427783,100,0
14,0,2.5,-14.870253,22.959338,18.745959,850,0
14,0,2.5,2.25857,32.049425,28.025989,96,0
14,0,2.5,-16.8933,21.142442,16.95521,349,0
14,0,2.5,14.347454,23.423179,22.31831,163,0
14,0,2.5,3.494554,29.16545,27.715751,225,0
14,0,2.5,6.084429,25.496975,17.610791,675,0
14,0,2.5,7.023014,40.022881,39.128049,107,0
14,0,2.5,4.743053,30.944499,21.458756,120,0
14,0,2.5,-21.203124,5.966119,0.226674,116,0
14,0,2.5,-4.544708,28.563181,22.27879,231,0
14,0,2.5,16.007938,31.774497,29.863633,61,0
14,0,2.5,-8.095461,21.963219,14.882582,493,0
14,0,2.5,-11.661136,15.721495,13.162758,288,0
14,0,2.5,-6.201525,24.270017,18.538377,334,0
14,0,2.5,-2.20879,23.734963,18.153952,269,0
14,0,2.5,3.421019,28.833945,23.673671,279,0
14,0,2.5,1.166713,22.158815,17.539279,2461,0
14,0,2.5,-19.292978,18.679711,16.895616,253,0
14,0,2.5,-18.462895,13.658669,11.790875,93,0
14,0,2.5,21.68522,36.374367,30.976899,237,0
14,0,2.5,19.012176,41.213855,35.890662,128,0
14,0,2.5,-4.130314,27.258331,20.992572,153,0
14,0,2.5,-3.960735,28.32639,21.886089,207,0
14,0,2.5,1.281015,25.063484,16.101731,1434,0
14,0,2.5,0.71102,13.541065,8.073228,164,0
14,0,2.5,-9.924876,22.855592,16.505268,327,0
14,0,2.5,13.922733,27.422293,25.683792,144,0
14,0,2.5,13.02078,33.297539,26.826647,176,0
14,0,2.5,-19.06867,10.26223,9.323945,97,0
14,0,2.5,20.523125,27.39476,21.897072,89,0
14,0,2.5,18.790306,42.487174,31.937902,62,0
14,0,2.5,8.469089,27.664298,22.231349,140,0
14,0,2.5,-5.661624,22.676537,16.224631,230,0
14,0,2.5,13.369986,18.294887,14.508047,20430,0
14,0,2.5,7.205162,22.432012,17.772204,283,0
14,0,2.5,2.777915,20.303711,17.477299,30821,0
14,0,2.5,0.041603,25.344292,17.737183,210,0
14,0,2.5,7.485902,20.854986,18.623948,247,0
14,0,2.5,13.885877,16.415166,15.248782,322,0
14,0,2.5,26.020596,35.63261,29.583872,94,0
14,0,2.5,13.785023,29.756121,24.321862,154,0
14,0,2.5,-3.775128,15.388721,8.726397,140,0
