Tmean,Tsd,Tsd_short,CTmin,CTmax,Topt,Inc,Sigma,Scale,Tpers,Fec,Dens,BRate,Rep,Tmax,Tmin,CTrange,CTmax_sd,CTmin_sd
14,0,2.5,6.004445,21.250014,17.421524,3.92795,3.298171,1.440796,74344,0.457363,2636,100.02,0,16.5,11.5,15.245569,-1.32814823854931,0.450673869927664
14,0,2.5,9.241183,21.308183,9.842173,11.763883,0.173614,1.496336,37486,0.457363,1503,55.86,0,16.5,11.5,12.067,-1.31209685205218,0.930239661440863
14,0,2.5,4.823644,18.254519,15.237896,3.094992,3.008473,1.649011,91333,0.457363,1947,80.12,0,16.5,11.5,13.430875,-2.15473710882785,0.275722494133709
14,0,2.5,10.500619,18.793746,16.172215,2.689635,1.638413,2.59641,18471,0.912853,229,9.13,1,16.5,11.5,8.293127,-2.00594065390014,1.11684185852948
14,0,2.5,-2.239543,23.879284,17.430747,6.616063,5.682361,0.842096,29117,0.912853,271,9.71,1,16.5,11.5,26.118827,-0.602616959426082,-0.77078261819257
14,0,2.5,1.04275,25.20315,20.903532,4.411317,5.737391,0.930242,19345,0.912853,157,6.32,1,16.5,11.5,24.1604,-0.237304080806634,-0.284467247432493
14,0,2.5,8.73268,28.249368,19.927038,8.538534,3.233831,1.067526,14986,0.912853,36,1.73,1,16.5,11.5,19.516688,0.603281496950011,0.85489817761306
14,0,2.5,-2.816455,21.212264,19.181786,2.083227,6.354861,0.963888,39510,0.912853,285,11.05,1,16.5,11.5,24.028719,-1.33856512452409,-0.856259805383335
14,0,2.5,9.646044,20.284319,19.749687,0.548521,2.918745,2.201761,86037,0.912853,174,8.17,1,16.5,11.5,10.638275,-1.59462597898408,0.990225204267569
14,0,2.5,11.125552,18.397094,12.969405,5.568694,0.532653,2.619012,89573,0.912853,201,8.83,1,16.5,11.5,7.271542,-2.11539439312311,1.20943399567117
14,0,2.5,5.348919,20.382309,15.403315,5.108343,2.904518,1.425772,34122,0.912853,346,14.34,1,16.5,11.5,15.03339,-1.56758622648955,0.353548972871591
14,0,2.5,-5.037688,23.107043,15.787224,7.50998,6.015909,0.778298,3097,0.912853,165,6.69,1,16.5,11.5,28.144731,-0.815712229414103,-1.18536502235803
14,0,2.5,-5.617796,15.681589,13.139862,2.607759,5.41872,1.075172,39297,0.912853,67,2.73,1,16.5,11.5,21.299385,-2.86472170302872,-1.27131573946369
14,0,2.5,5.378871,21.648167,14.382149,7.454781,2.600871,1.273057,33498,0.912853,395,13.85,1,16.5,11.5,16.269296,-1.21828030738334,0.357986760109052
14,0,2.5,7.441642,24.468417,16.425559,8.251802,2.595278,1.207341,8273,0.912853,267,10.84,1,16.5,11.5,17.026775,-0.440049243267716,0.663613723837803
14,0,2.5,11.261574,21.930515,18.149599,3.87914,1.989815,1.995044,43517,0.912853,156,6.66,1,16.5,11.5,10.668941,-1.14036807106,1.22958746440828
14,0,2.5,2.829666,23.075913,16.41564,6.8333,3.924722,1.059389,8302,0.912853,345,13.2,1,16.5,11.5,20.246247,-0.824302366113302,-0.0197118715239086
14,0,2.5,1.099339,19.017401,15.035385,4.085464,4.025851,1.236967,25722,0.912853,358,13.19,1,16.5,11.5,17.918062,-1.94422439872957,-0.276082834305468
14,0,2.5,1.918694,18.067288,10.51934,7.744035,2.484558,1.27483,36174,0.912853,208,8.22,1,16.5,11.5,16.148594,-2.20640237976675,-0.154684491558759
14,0,2.5,14.878825,34.603706,23.280574,11.617294,2.427101,1.012353,19,0.912853,18,0.01,1,16.5,11.5,19.724881,2.35672293777631,1.76553131865811
14,0,2.5,-4.104424,18.461074,15.359926,3.181713,5.622869,1.00895,14140,0.912853,254,9.86,1,16.5,11.5,22.565498,-2.09773949604586,-1.04708954598312
14,0,2.5,-7.887033,24.245029,19.913351,4.44421,8.030986,0.709156,17830,0.912853,126,5.3,1,16.5,11.5,32.132062,-0.501691821390457,-1.60753338761316
14,0,2.5,-10.528451,23.733786,23.040374,0.711426,9.697376,0.690482,9240,0.912853,97,3.53,1,16.5,11.5,34.262237,-0.642766259440866,-1.99889460186258
14,0,2.5,-10.479622,19.909646,15.944602,4.06805,7.633441,0.75087,16440,0.912853,183,8.05,1,16.5,11.5,30.389268,-1.69801474504574,-1.9916599359632
14,0,2.5,1.320257,17.129941,14.74287,2.449084,3.87753,1.433855,30267,0.912853,215,8.78,1,16.5,11.5,15.809684,-2.46505765970845,-0.243350893836541
14,0,2.5,3.671009,22.777904,19.961803,2.88926,4.706091,1.187787,21395,0.912853,256,10.27,1,16.5,11.5,19.106895,-0.906536161410185,0.10494428591889
14,0,2.5,2.44833,20.389475,12.745801,7.842248,2.974738,1.161403,70292,0.912853,309,13.03,1,16.5,11.5,17.941145,-1.56560881179034,-0.0762118726585315
14,0,2.5,-5.447113,16.208295,12.670565,3.629635,5.233842,1.042671,11562,0.912853,70,2.91,1,16.5,11.5,21.655408,-2.71938034291665,-1.24602678249749
14,0,2.5,4.45977,18.316896,15.376934,3.01634,3.153755,1.60452,87868,0.912853,271,10.56,1,16.5,11.5,13.857126,-2.13752454998153,0.221809720587912
14,0,2.5,-7.809503,18.37483,15.104891,3.354888,6.61952,0.873024,33200,0.511218,202,6.7,2,16.5,11.5,26.184333,-2.12153801032424,-1.5960462867678
14,0,2.5,-4.304185,23.009706,20.187509,2.895514,7.075171,0.842776,99999,0.511218,144,5.94,2,16.5,11.5,27.313891,-0.842571790477066,-1.07668679546036
14,0,2.5,6.284146,21.855054,21.284164,0.585721,4.333212,1.511059,44551,0.511218,194,7.22,2,16.5,11.5,15.570908,-1.16119108119358,0.492115293809373
14,0,2.5,8.510651,22.8257,22.633573,0.197118,4.079836,1.656396,60560,0.511218,55,1.91,2,16.5,11.5,14.315049,-0.893347142018121,0.822001627715019
