Tmean,Tsd_short,CTmax_CTmin_hv
14,0,10.9140546090171
14.8,0,10.548859883813
15.6,0,10.4936720032752
16.4,0,13.1153328328646
17.2,0,13.1062758113158
18,0,12.8354031188569
18.8,0,13.0268298845356
19.6,0,13.1626850072113
20.4,0,13.1726314264115
21.2,0,12.8893272007509
22,0,13.4392891319778
14,0.5,10.1729912145793
14.8,0.5,9.79396298524376
15.6,0.5,10.0271429854494
16.4,0.5,12.3075922865095
17.2,0.5,13.1609847071852
18,0.5,13.1517921601492
18.8,0.5,12.9628558577974
19.6,0.5,12.7005707837242
20.4,0.5,12.8743559866661
21.2,0.5,13.2708846901133
22,0.5,14.0443473075829
14,1,10.2682124251718
14.8,1,10.2072992454706
15.6,1,10.8404832701756
16.4,1,11.4747844720265
17.2,1,12.6096764757571
18,1,13.1146677334301
18.8,1,12.9372259311886
19.6,1,13.434787979827
20.4,1,13.3177231345785
21.2,1,14.4401053365956
22,1,14.3633682744277
14,1.5,10.1018647112731
14.8,1.5,10.9766047287337
15.6,1.5,11.0212038978935
16.4,1.5,11.3399011715054
17.2,1.5,12.2775314867538
18,1.5,13.2456857125853
18.8,1.5,12.9559385816236
19.6,1.5,13.3513898483858
20.4,1.5,13.6637311788351
21.2,1.5,14.51641725345
22,1.5,14.7023074070332
14,2,10.4356528397229
14.8,2,10.928063657234
15.6,2,11.0720675661447
16.4,2,11.6252572036357
17.2,2,12.4004024556198
18,2,12.7240054744875
18.8,2,13.1502151045813
19.6,2,13.6097272685924
20.4,2,14.4653472304761
21.2,2,14.7623736159902
22,2,15.0464835946865
14,2.5,10.7827013963332
14.8,2.5,10.7808696281956
15.6,2.5,11.0888888301357
16.4,2.5,11.5945100227142
17.2,2.5,12.0744882690015
18,2.5,12.7420495885951
18.8,2.5,13.7333549754571
19.6,2.5,13.6063363193857
20.4,2.5,14.8174772924376
21.2,2.5,15.2571147609678
22,2.5,15.9627251132809
14,3,10.5549572436522
14.8,3,11.1152475530738
15.6,3,11.3459933007794
16.4,3,12.3447757048512
17.2,3,13.0466083179831
18,3,13.6875192739169
18.8,3,13.9361441990036
19.6,3,14.551760277964
20.4,3,15.2021933907476
21.2,3,16.4917909899086
22,3,16.8630354684883
14,3.5,11.518622489863
14.8,3.5,11.7338514659667
15.6,3.5,12.2964241431747
16.4,3.5,12.3599510100242
17.2,3.5,12.7748872157502
18,3.5,13.6951748036837
18.8,3.5,14.0768393015901
19.6,3.5,14.873846298054
20.4,3.5,15.769713107892
21.2,3.5,16.5258778728877
22,3.5,16.4208051819355
14,4,11.6939405485299
14.8,4,11.7187164355988
15.6,4,12.5742881632566
16.4,4,12.6443856600678
17.2,4,13.538820036172
18,4,14.1024416391971
18.8,4,14.3313362521401
19.6,4,15.7977511519641
20.4,4,15.7756481904213
21.2,4,16.9415603639903
22,4,17.0641880982632
14,4.5,12.0643662096126
14.8,4.5,12.1182397880259
15.6,4.5,12.4326229199132
16.4,4.5,13.4920090351473
17.2,4.5,13.5767337528798
18,4.5,14.4586956336766
18.8,4.5,15.5195966992957
19.6,4.5,15.2575781658472
20.4,4.5,16.2442069697581
21.2,4.5,17.5512544187632
22,4.5,17.2344717023544
14,5,12.3140661037872
14.8,5,12.7587192051498
15.6,5,14.1229834186186
16.4,5,13.9606602927622
17.2,5,14.6697494976439
18,5,15.2814749762271
18.8,5,15.6148932812598
19.6,5,16.851580064933
20.4,5,16.9821599578959
21.2,5,17.2903810643862
22,5,17.8316532613727
