Tmean,Tsd_short,CTmax_CTmin_hv
14,0,10.2161159385695
14.8,0,10.4067397684532
15.6,0,9.98048841917859
16.4,0,12.977032239267
17.2,0,13.3532847991063
18,0,13.6852363008518
18.8,0,13.0066159727254
19.6,0,12.8979219338525
20.4,0,13.1100831031924
21.2,0,13.5420543665805
22,0,13.5279572488152
14,0.5,10.2102129198769
14.8,0.5,10.1784029121844
15.6,0.5,9.99232222153843
16.4,0.5,12.3455594639323
17.2,0.5,13.5316296106328
18,0.5,13.0008498471611
18.8,0.5,13.0999572113869
19.6,0.5,12.8387897321313
20.4,0.5,12.8590320411387
21.2,0.5,13.2851395276749
22,0.5,14.0864493468802
14,1,9.99506585446492
14.8,1,9.81705193827945
15.6,1,10.8764346246653
16.4,1,11.7888982860811
17.2,1,12.5814422585866
18,1,12.7859005977469
18.8,1,13.1373207447781
19.6,1,13.144864437752
20.4,1,13.6093747608852
21.2,1,13.389979165922
22,1,13.8209735196425
14,1.5,10.3780278220854
14.8,1.5,10.4112287006172
15.6,1.5,11.0056226684351
16.4,1.5,11.3067505284083
17.2,1.5,12.1936368314265
18,1.5,13.1052355937774
18.8,1.5,12.9027238971801
19.6,1.5,13.8057785748604
20.4,1.5,13.9390648043845
21.2,1.5,14.3016510017147
22,1.5,15.1824365843301
14,2,10.3560801578369
14.8,2,10.9751558445472
15.6,2,10.8125248360096
16.4,2,11.6696425793389
17.2,2,12.7993061282737
18,2,12.6261488791195
18.8,2,13.3072561539495
19.6,2,13.3678991282689
20.4,2,14.2844053460018
21.2,2,15.1770095102294
22,2,16.2120292498508
14,2.5,10.6315272827533
14.8,2.5,11.2073493144728
15.6,2.5,11.2192955472341
16.4,2.5,11.7127292319145
17.2,2.5,12.3334330127452
18,2.5,13.1318472294871
18.8,2.5,14.1996928469221
19.6,2.5,14.1675447134772
20.4,2.5,15.4424177843326
21.2,2.5,15.5314973679551
22,2.5,15.4762021697147
14,3,11.43061927799
14.8,3,10.9017444651086
15.6,3,11.4110006005987
16.4,3,11.8789418407232
17.2,3,12.6891387193601
18,3,13.1506595881732
18.8,3,13.6012251471389
19.6,3,15.1057886600346
20.4,3,14.9763695613773
21.2,3,15.5715620059766
22,3,15.9700125623189
14,3.5,11.1195575683021
14.8,3.5,11.0891564703875
15.6,3.5,11.9193009744943
16.4,3.5,12.4237557090399
17.2,3.5,12.8366176504162
18,3.5,13.324505381546
18.8,3.5,14.8679900261022
19.6,3.5,14.5435928182087
20.4,3.5,15.779318539669
21.2,3.5,16.0393031803008
22,3.5,16.835746908242
14,4,11.9012557282245
14.8,4,11.869659866803
15.6,4,13.0200895297842
16.4,4,12.9134392106613
17.2,4,13.9610654168492
18,4,14.017908823962
18.8,4,14.7491902312765
19.6,4,15.5806409958823
20.4,4,16.4821928496323
21.2,4,16.7338046216138
22,4,16.1376153658295
14,4.5,11.4169716044541
14.8,4.5,12.0686673746178
15.6,4.5,12.5432280027256
16.4,4.5,12.9313737142128
17.2,4.5,13.733411847463
18,4.5,14.5776781684936
18.8,4.5,15.148066539634
19.6,4.5,15.7148167196689
20.4,4.5,16.6593603945325
21.2,4.5,17.0371072606451
22,4.5,17.3077496614523
14,5,12.7312736433914
14.8,5,13.1292322203436
15.6,5,13.1790709764383
16.4,5,13.9703951965657
17.2,5,14.2273546695503
18,5,15.1032527827655
18.8,5,15.6356835085371
19.6,5,16.6492254431089
20.4,5,16.8147837668007
21.2,5,18.0436829074242
22,5,18.3000697341794
