Tmean,Tsd,Tsd_short,Tmin,Tmax,Topt,Lifespan,Rep
14,0,2.5,11.773775,34.646936,31.222007,207,0
14,0,2.5,-11.036578,23.95368,20.184067,1515,0
14,0,2.5,-17.595761,20.990425,15.89306,389,0
14,0,2.5,-2.039178,23.175639,22.254192,3818,0
14,0,2.5,-10.923293,22.029099,19.122176,9388,0
14,0,2.5,15.985987,31.867101,24.862916,86,0
14,0,2.5,11.700306,23.67979,19.205402,122,0
14,0,2.5,11.169175,28.787445,24.025478,147,0
14,0,2.5,23.995665,38.784316,34.419582,126,0
14,0,2.5,27.47195,32.42821,30.321735,81,0
14,0,2.5,1.783365,26.971686,21.275175,144,0
14,0,2.5,-9.992354,28.285412,21.87556,94,0
14,0,2.5,-3.93598,31.517635,23.748856,163,0
14,0,2.5,-3.710152,18.655726,10.675613,7497,0
14,0,2.5,22.256662,40.5442,36.404468,70,0
14,0,2.5,-0.70496,14.316295,13.822558,4627,0
14,0,2.5,11.586319,31.539707,27.780445,110,0
14,0,2.5,4.062224,34.823406,32.859369,120,0
14,0,2.5,6.45043,22.848834,20.13949,20669,0
14,0,2.5,-3.845573,20.644666,16.908446,7911,0
14,0,2.5,-6.494006,24.925867,18.558751,278,0
14,0,2.5,0.938648,18.316238,10.645857,363,0
14,0,2.5,4.579432,33.078689,23.110785,89,0
14,0,2.5,3.648751,10.459022,3.997831,107,0
14,0,2.5,-4.612584,24.076995,19.133307,158,0
14,0,2.5,-0.182512,23.17763,17.983936,177,0
14,0,2.5,11.117898,44.018132,37.646965,113,0
14,0,2.5,-4.923159,18.537002,12.035916,244,0
14,0,2.5,-9.039657,17.935148,9.479038,315,0
14,0,2.5,-12.273027,27.054958,23.366933,130,0
14,0,2.5,7.321212,29.34392,26.915181,91,0
14,0,2.5,2.773791,31.334576,25.58773,102,0
14,0,2.5,24.582029,32.828182,28.963455,88,0
14,0,2.5,5.377849,23.69517,15.039093,13704,0
14,0,2.5,-16.613371,11.039915,6.868525,201,0
14,0,2.5,7.563377,20.440195,17.989774,5505,0
14,0,2.5,11.620806,34.158436,25.245553,123,0
14,0,2.5,10.429216,25.808243,19.410679,240,0
14,0,2.5,2.484923,23.775437,21.966247,300,0
14,0,2.5,-4.807193,26.825499,18.901926,141,0
14,0,2.5,-1.603818,8.804967,8.285312,107,0
14,0,2.5,3.699697,17.764536,11.715384,602,0
14,0,2.5,5.220263,29.1615,21.086877,47,0
14,0,2.5,23.055251,31.423061,25.355023,100,0
14,0,2.5,-8.451396,20.996997,18.202535,166,0
14,0,2.5,8.523477,27.633757,20.608297,240,0
14,0,2.5,2.885952,17.668552,12.371022,812,0
14,0,2.5,10.505802,25.558896,20.237597,97,0
14,0,2.5,21.532078,28.601627,23.702725,126,0
14,0,2.5,6.582148,21.75692,19.684806,125,0
14,0,2.5,10.020179,33.375177,29.291965,71,0
14,0,2.5,-9.365103,9.726817,5.575545,112,0
14,0,2.5,0.603909,25.208223,19.867846,133,0
14,0,2.5,-4.183201,24.003675,18.966283,278,0
14,0,2.5,0.758232,20.33579,12.956883,194,0
14,0,2.5,5.250636,16.477145,9.462176,42111,0
14,0,2.5,33.341738,54.017501,47.298758,83,0
14,0,2.5,15.563782,29.488338,24.425965,105,0
14,0,2.5,2.742207,18.58812,15.427342,1325,0
14,0,2.5,-10.875145,16.108151,11.211066,144,0
14,0,2.5,9.298969,34.779795,29.242147,111,0
14,0,2.5,3.444745,16.793109,12.705677,180,0
14,0,2.5,-2.215259,16.215447,14.798824,226,0
14,0,2.5,16.347086,26.181229,20.303201,120,0
14,0,2.5,-1.621072,40.21958,32.058151,76,0
14,0,2.5,-2.343648,40.028744,28.598062,92,0
14,0,2.5,12.743209,20.132381,15.56935,1428,0
14,0,2.5,25.101091,32.378054,27.485751,88,0
